Id CCAA,CCAA,Id Provincia,Provincia,País,Titularidad,Sexo,Total,Infantil ciclo 1,Infantil ciclo 2,Primaria,Ed Especial,ESO,Bachillerato,Bachillerato a distancia,FP Básica,FP Medio,FP Superior,FP Medio a distancia,FP Superior a distancia,Otros
CA13,Comunidad de Madrid,PR28,Madrid,España,Pública,Hombres,321.187,22.299,55.629,122.080,1.857,77.833,27.755,2.125,5.128,11.511,15.349,471,623,826
CA14,Región de Murcia,PR30,Murcia,España,Pública,Hombres,108.587,2.398,18.305,40.617,783,26.480,9.202,773,2.358,4.537,4.764,270,370,128
CA15,Comunidad Foral de Navarra,PR31,Navarra,España,Pública,Hombres,37.758,2.240,6.405,14.719,281,8.628,2.376,106,540,2.127,1.872,194,430,80
CA16,País Vasco,PR01,Álava,España,Pública,Hombres,16.436,1.484,2.993,6.683,140,3.360,839,212,179,951,1.079,0,0,0
CA16,País Vasco,PR20,Gipuzkoa,España,Pública,Hombres,33.406,2.616,4.983,11.670,125,7.509,2.128,0,216,2.591,3.401,238,545,0
CA16,País Vasco,PR48,Bizkaia,España,Pública,Hombres,43.936,3.316,7.515,16.639,257,9.898,3.168,0,522,2.688,3.249,0,0,0
CA17,La Rioja,PR26,La Rioja,España,Pública,Hombres,17.942,873,2.893,6.706,94,4.040,1.129,72,412,1.166,1.106,69,241,14
CA18,Ceuta,PR51,Ceuta,España,Pública,Hombres,8.258,168,1.366,3.017,73,1.907,519,79,284,452,334,188,26,13
CA19,Melilla,PR52,Melilla,España,Pública,Hombres,8.873,278,1.586,3.302,65,2.082,639,67,348,393,347,0,35,9
CA01,Andalucía,PR04,Almería,España,Privada,Mujeres,11.907,3.067,1.460,3.418,18,2.441,631,0,50,505,279,0,38,0
CA01,Andalucía,PR11,Cádiz,España,Privada,Mujeres,30.508,3.024,4.285,10.184,127,7.665,1.877,0,252,1.544,1.522,0,28,0
CA01,Andalucía,PR14,Córdoba,España,Privada,Mujeres,20.946,2.984,2.967,6.075,109,4.489,1.122,0,110,1.464,1.553,20,53,0
CA01,Andalucía,PR18,Granada,España,Privada,Mujeres,26.607,2.390,3.411,7.890,195,6.199,1.748,0,143,1.738,2.192,159,542,0
CA01,Andalucía,PR21,Huelva,España,Privada,Mujeres,8.906,1.728,1.248,2.827,19,1.974,304,0,90,506,210,0,0,0
CA01,Andalucía,PR23,Jaén,España,Privada,Mujeres,13.350,1.440,2.075,4.542,34,3.366,598,0,31,663,555,0,46,0
CA01,Andalucía,PR29,Málaga,España,Privada,Mujeres,45.596,7.389,6.101,14.035,96,10.418,3.235,0,88,1.327,1.772,127,1.008,0
CA01,Andalucía,PR41,Sevilla,España,Privada,Mujeres,55.338,9.347,7.018,16.140,242,12.081,3.001,0,232,3.157,3.409,149,562,0
CA02,Aragón,PR22,Huesca,España,Privada,Mujeres,3.439,312,560,1.421,11,898,152,0,11,51,23,0,0,0
CA02,Aragón,PR44,Teruel,España,Privada,Mujeres,1.330,107,231,586,0,375,31,0,0,0,0,0,0,0
CA02,Aragón,PR50,Zaragoza,España,Privada,Mujeres,27.992,1.708,4.295,10.012,128,7.221,2.051,0,248,1.068,986,82,125,68
CA03,Principado de Asturias,PR33,Asturias,España,Privada,Mujeres,18.929,245,3.061,7.206,61,5.471,1.388,0,26,691,705,0,73,2
CA04,Illes Balears,PR07,Baleares,España,Privada,Mujeres,32.444,1.462,5.870,12.558,194,8.769,2.170,0,124,718,437,18,85,39
CA05,Canarias,PR35,Las Palmas,España,Privada,Mujeres,19.456,1.054,3.153,6.787,127,5.207,1.166,533,36,298,551,64,480,0
CA05,Canarias,PR38,Santa Cruz de Tenerife,España,Privada,Mujeres,22.150,1.830,3.799,8.463,76,6.005,1.110,0,25,77,353,60,337,15
CA06,Cantabria,PR39,Cantabria,España,Privada,Mujeres,13.896,339,2.050,5.316,47,3.525,804,0,118,717,678,0,263,39
CA07,Castilla y León,PR05,Ávila,España,Privada,Mujeres,2.617,75,483,945,0,819,249,0,11,26,9,0,0,0
CA07,Castilla y León,PR09,Burgos,España,Privada,Mujeres,9.924,235,1.632,3.612,20,2.620,555,0,145,588,434,0,83,0
CA07,Castilla y León,PR24,León,España,Privada,Mujeres,8.839,174,1.532,3.474,12,2.536,696,0,76,105,212,0,22,0
CA07,Castilla y León,PR34,Palencia,España,Privada,Mujeres,3.589,95,594,1.204,4,950,227,0,76,273,166,0,0,0
CA07,Castilla y León,PR37,Salamanca,España,Privada,Mujeres,8.405,262,1.406,3.136,39,2.352,512,0,77,263,261,0,97,0
