Id CCAA;CCAA;Id Provincia;Provincia;Edad;Titularidad;Alumnos
CA08;Castilla-La Mancha;PR13;Ciudad Real;2;Pública;1.658
CA08;Castilla-La Mancha;PR16;Cuenca;2;Pública;572
CA08;Castilla-La Mancha;PR19;Guadalajara;2;Pública;662
CA08;Castilla-La Mancha;PR45;Toledo;2;Pública;2.429
CA09;Cataluña;PR08;Barcelona;2;Pública;18.764
CA09;Cataluña;PR17;Girona;2;Pública;3.415
CA09;Cataluña;PR25;Lleida;2;Pública;1.900
CA09;Cataluña;PR43;Tarragona;2;Pública;3.014
CA10;Comunitat Valenciana;PR03;Alicante;2;Pública;4.496
CA10;Comunitat Valenciana;PR12;Castellón;2;Pública;1.507
CA10;Comunitat Valenciana;PR46;Valencia;2;Pública;6.884
CA11;Extremadura;PR06;Badajoz;2;Pública;2.492
CA11;Extremadura;PR10;Cáceres;2;Pública;1.356
CA12;Galicia;PR15;A Coruña;2;Pública;3.757
CA12;Galicia;PR27;Lugo;2;Pública;835
CA12;Galicia;PR32;Ourense;2;Pública;566
CA12;Galicia;PR36;Pontevedra;2;Pública;2.673
CA13;Madrid, Comunidad de;PR28;Madrid;2;Pública;21.932
CA14;Murcia, Región de;PR30;Murcia;2;Pública;2.652
CA15;Navarra, Comunidad Foral de;PR31;Navarra;2;Pública;2.288
CA16;País Vasco;PR01;Álava;2;Pública;1.678
CA16;País Vasco;PR20;Gipuzkoa;2;Pública;2.949
CA16;País Vasco;PR48;Bizkaia;2;Pública;4.233
CA17;Rioja, La;PR26;La Rioja;2;Pública;949
CA18;Ceuta;PR51;Ceuta;2;Pública;234
CA19;Melilla;PR52;Melilla;2;Pública;313
CA01;Andalucía;PR04;Almería;2;Privada;3.319
CA01;Andalucía;PR11;Cádiz;2;Privada;3.576
CA01;Andalucía;PR14;Córdoba;2;Privada;3.284
CA01;Andalucía;PR18;Granada;2;Privada;2.508
CA01;Andalucía;PR21;Huelva;2;Privada;1.831
CA01;Andalucía;PR23;Jaén;2;Privada;1.520
CA01;Andalucía;PR29;Málaga;2;Privada;8.162
CA01;Andalucía;PR41;Sevilla;2;Privada;9.995
CA02;Aragón;PR22;Huesca;2;Privada;296
CA02;Aragón;PR44;Teruel;2;Privada;138
CA02;Aragón;PR50;Zaragoza;2;Privada;1.955
CA03;Asturias, Principado de;PR33;Asturias;2;Privada;306
CA04;Balears, Illes;PR07;Baleares;2;Privada;1.710
CA05;Canarias;PR35;Las Palmas;2;Privada;1.195
CA05;Canarias;PR38;Santa Cruz de Tenerife;2;Privada;2.046
CA06;Cantabria;PR39;Cantabria;2;Privada;436
CA07;Castilla y León;PR05;Ávila;2;Privada;124
CA07;Castilla y León;PR09;Burgos;2;Privada;283
CA07;Castilla y León;PR24;León;2;Privada;211
CA07;Castilla y León;PR34;Palencia;2;Privada;118
CA07;Castilla y León;PR37;Salamanca;2;Privada;303
CA07;Castilla y León;PR40;Segovia;2;Privada;141
CA07;Castilla y León;PR42;Soria;2;Privada;77
CA07;Castilla y León;PR47;Valladolid;2;Privada;643
CA07;Castilla y León;PR49;Zamora;2;Privada;57
CA08;Castilla-La Mancha;PR02;Albacete;2;Privada;950
CA08;Castilla-La Mancha;PR13;Ciudad Real;2;Privada;619
CA08;Castilla-La Mancha;PR16;Cuenca;2;Privada;168
CA08;Castilla-La Mancha;PR19;Guadalajara;2;Privada;558
CA08;Castilla-La Mancha;PR45;Toledo;2;Privada;1.104
CA09;Cataluña;PR08;Barcelona;2;Privada;12.997
CA09;Cataluña;PR17;Girona;2;Privada;735
CA09;Cataluña;PR25;Lleida;2;Privada;616
CA09;Cataluña;PR43;Tarragona;2;Privada;1.257
CA10;Comunitat Valenciana;PR03;Alicante;2;Privada;3.378
CA10;Comunitat Valenciana;PR12;Castellón;2;Privada;1.256
CA10;Comunitat Valenciana;PR46;Valencia;2;Privada;9.070
CA11;Extremadura;PR06;Badajoz;2;Privada;275
CA11;Extremadura;PR10;Cáceres;2;Privada;180
CA12;Galicia;PR15;A Coruña;2;Privada;2.272
CA12;Galicia;PR27;Lugo;2;Privada;376
